All,Все
"File Extensions","Расширения файлов"
"Comma separated","Разделитель — запятая"
"Maximum Image Width (px)","Максимальная ширина изображения (пикселей)"
"Maximum Image Height (px)","Максимальная высота изображения (пикселей)"
"Input/Output Filter","Фильтр ввода / вывода"
"Minimal value","Минимальное значение"
"Maximum value","Максимальное значение"
"Show on Storefront","Показать на витрине"
"Visible to Customer","Видимый для клиента"
"New Form Type","Новый тип формы"
"All Themes","Все темы"
"For Theme","Для темы"
"Form Code","Код формы"
"Form Title","Название формы"
"New Fieldset","Новый набор полей"
"Manage Customer Address Attributes","Управление атрибутами адресов клиента"
"We can't save the form type right now.","Мы не можем сохранить тип формы прямо сейчас."
"The form type has been deleted.","Тип формы был удален."
"Customer Registration","Регистрация клиента"
"Customer Account Edit","Редактирование профиля клиента"
"Fieldset Properties","Свойства полей"
"Customer Address","Адрес заказчика"
"Please specify a finance information website.","Пожалуйста, укажите веб-сайт финансовой информации."
"Reward Points","Баллы вознаграждения"
"Please specify a website.","Пожалуйста, укажите веб-сайт."
"We found an invalid value in a website column.","Мы обнаружили недопустимое значение в столбце веб-сайта."
"Please enter a valid email.","Пожалуйста, введите корректный email."
"Please make sure attribute ""%s"" is not empty.","Пожалуйста, убедитесь, что атрибут ""%s"" не является пустым."
"Please enter a valid region.","Пожалуйста, введите корректный регион."
"Please enter a password with a valid length.","Пожалуйста, введите пароль с допустимой длиной."
Segments,Сегменты
"Add Segment","Добавить сегмент"
"Refresh Segment Data","Обновить сегмент данных"
"Edit Segment '%1'","Изменение сегмента '%1'"
"New Segment","Новый сегмент"
"Segment Information","Данные по сегментам"
"* applicable to visitors and registered customers","применимо для посетителей и зарегистрированных клиентов"
"General Properties","Общие свойства"
"Segment Name","Название сегмента"
"Assigned to Website","Привязан к сайту"
"Apply To","Применять к"
"Visitors and Registered Customers","Посетители и зарегистрированные пользователи"
Visitors,Посетители
"Matched Customers (%1)","Соответствующие клиенты (%1)"
Segment,Сегмент
"Customer Segment Report","Отчет сегмента клиента"
"Customer Segments Report","Отчет сегментов клиента"
"You deleted the segment.","Вы удалили сегмент."
Reports,Отчеты
Union,Союз
contains,содержит
"does not contains","не содержит"
"Matched %1 Customers of Segment %2","Соответствует %1 клиентов сегмента %2"
"Product List","Список товаров"
"Product History","История товара"
"Default Address","Адрес по умолчанию"
Billing,"Выставление счетов"
has,имеет
"does not have","не имеет"
exists,существует
"does not exist","не существует"
"Newsletter Subscription","Подписка на рассылку"
subscribed,подписан
"not subscribed","не подписан"
"Open Chooser","Открыть окно выбора"
"Address Type","Тип адреса"
"Order Status","Статус заказа"
"Product %1","Товар %1"
"Date Ranges","Диапазон дат"
viewed,просмотрено
ordered,заказано
was,было
"was not","не было"
"Wish List","Список желаний"
found,найдено
"not found","не найден"
"Number of Orders","Количество заказов"
"Purchased Quantity","Количество заказов"
matches,совпадений
"does not match","нет совпадений"
"is one of","является одним из"
"is not one of","не является одним из"
"Shopping Cart Total","Корзина в общем"
"Grand Total","Общий итог"
"Gift Card","Подарочная карта"
"Products Quantity","Количество продуктов"
"less than","меньше, чем"
"Refresh Data","Обновить данные"
"AVS result code","Код результата AVS"
"Card number","Номер карты"
"Card expiry date","Дата истечения срока действия карты"
"Risk Score","Оценка Риска"
"Profile ID","ID профиля"
"Access Key","Ключ доступа"
"Secret Key","Секретный ключ"
"Value can't be empty","Значение не может быть пустым"
"Cannot switch into given mode ""%1""","Не удается перейти в заданный режим «%1»"
"Compilation from source: ","Компиляция из исходника: "
"some message","некоторое сообщение"
"The hash isn't saved.","Хэш не сохранен."
"Format for IDE '%1' is not supported","Формат для IDE «%1» не поддерживается"
"Client side compilation doesn't work in production mode","Компиляция на стороне клиента не работает в production режиме"
"Client side less compilation","Компиляция less на стороне клиента"
"Server side less compilation","Компиляция less на стороне сервера"
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","Выберите это, чтобы разрешить DHL оптимизировать транспортные расходы путем разделения порядок, если она превышает %1 %2."
"Wrong Content Type","Неверный тип контента"
Pounds,Фунты
Kilograms,Килограммы
Inches,Дюймы
Centimeters,Сантиметры
inch,дюйм
cm,см
Height,Высота
Depth,Глубина
Width,Ширина
Regular,Регулярный
Specific,Специфичный
"Easy shop","Удобный магазин"
Others,Прочие
"Same day","Тот же день"
Documents,Документы
"Wrong Region","Неверный регион"
"Error #%1 : %2","Ошибка #%1 : %2"
"Enabled for Checkout","Включено для оформления заказа"
"Access ID","ID доступа"
"Account Number","Номер аккаунта"
"Content Type","Тип Контента"
"Weight Unit","Единицы веса"
Size,Размер
"Allowed Methods","Разрешенные методы"
kgs,кг
"We can't retrieve a rate from %1.","Мы не может получить стоимость от %1."
"FATAL ERROR:","КРИТИЧЕСКАЯ ОШИБКА:"
WARNING:,ВНИМАНИЕ:
Continue,Продолжить
"Currency Setup","Настройка валюты"
"Currency Options","Настройки валюты"
"Base Currency","Базовая валюта"
"Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Базовая валюта используется для всех онлайн платежей. Базовая валюта область определяется область Цена каталог («Каталог» > «Цена» > «Каталог Цена сфера»)."
"Allowed Currencies","Разрешенные валюты"
Service,Услуги
"Installed Currencies","Установленные валюты"
"No API Key was specified or an invalid API Key was specified.","Ключ API не указан или неверный."
"API Key","Ключ API"
"The country isn't available.","Страна недоступна."
"Document is not saved due to error.","Документ не сохраняется из-за ошибки."
"Downloadable Information","Загружаемая информация"
"Add New Link","Добавить новую ссылку"
"Upload Files","Загрузить файлы"
Unlimited,Неограничено
"The link is not available.","Ссылка не доступна."
"Invalid link type.","Неверный тип ссылки."
attachment,вложение
Links,Ссылки
"Add Link","Добавить ссылку"
Sample,Пример
"Max. Downloads","Макс. Загрузки"
sample,пример
"Unselect all","Снять все выделения"
"Downloadable Products","Загружаемые продукты"
"Remaining Downloads","Оставшиеся загрузки"
"View Order","Просмотреть заказ"
"Start Download","Начать скачивание"
"You have not purchased any downloadable products yet.","Вы еще не приобрели любой загружаемый продукт."
download,скачать
Downloads,Загрузки
"Default Label","Метка по умолчанию"
"Letters (a-z, A-Z) or Numbers (0-9)","Буквы (a-z, A-Z) или цифры (0-9)"
"Cannot save attribute","Не удается сохранить атрибут"
"Unknown parameter","Неизвестный параметр"
"Invalid default date","Неверная дата по умолчанию"
"Invalid date","Неверная дата"
"Invalid form type.","Неверный тип формы."
hello,привет
"Text Editor","Текстовый редактор"
"Missing %1 for the input %2.","Отсутствующие %1 для ввода %2."
"Elasticsearch Server Hostname","Имя сервера Elasticsearch"
"Elasticsearch Server Port","Порт сервера Elasticsearch"
"Elasticsearch Index Prefix","Префикс индекса Elasticsearch"
"Enable Elasticsearch HTTP Auth","Включить HTTP-аутентификацию Elasticsearch"
"Elasticsearch HTTP Username","Имя пользователя HTTP Elasticsearch"
"Elasticsearch HTTP Password","Пароль HTTP Elasticsearch"
"Elasticsearch Server Timeout","Таймаут сервера Elasticsearch"
"Test Connection","Проверка подключения"
"We were unable to perform the search because of a search engine misconfiguration.","Не удалось выполнить поиск из-за неправильной конфигурации поисковой системы."
"Add New Template","Добавить новый шаблон"
"Delete Template","Удалить шаблон"
"Save Template","Сохранить шаблон"
"Template Information","Информация о шаблоне"
"Template Name","Название Шаблона"
"Insert Variable...","Вставить переменную..."
"Template Content","Содержание шаблона"
"Template Styles","Стили шаблона"
"New Template","Новый шаблон"
"Store Hours","Время работы магазина"
Footer,"Подвал (footer)"
"Thank you, %store_name","Спасибо, %store_name"
"Template Type","Тип Шаблона"
"Logo Image","Изображение логотипа"
"Logo Image Alt","Alt изображения логотипа"
"Logo Width","Ширина логотипа"
"Logo Height","Высота логотипа"
"Header Template","Шаблон хэдера"
"Footer Template","Шаблон футера"
Emails,Письма
"Change Encryption Key","Изменить ключ шифрования"
"Encryption Key","Ключ шифрования"
"New Encryption Key","Новый ключ шифрования"
"New Key","Новый ключ"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","Это ваш новый ключ шифрования: <span style=""font-family:monospace;"">%1</span>. Обязательно запишите его и заботиться о нем!"
"Private Sales","Частные продажи"
"Email Verification","Верификация e-mail"
"Mobile Verification","Мобильная верификация"
"Connection Type","Тип соединения"
"Sandbox Mode","Режим песочницы"
"Transaction has been declined, please, try again later.","Транзакция была отклонена, пожалуйста, повторите попытку позже."
"Home Delivery","Доставка на дом"
"Not Required","Не требуется"
"For some reason we can't retrieve tracking info right now.","По некоторым причинам мы не можем получить информацию о отслеживании в это время."
status,статус
"Account ID","ID Клиента"
Key,Ключ
"Gift Card Information","Информация о подарочной карте"
Virtual,Виртуальный
Physical,Физический
Combined,Комбинированный
"Add Amount","Добавить сумму"
"Gift Card Type","Тип подарочной карты"
"Gift Card Sender","Отправитель подарочной карты"
"Lifetime (days)","Время жизни (дней)"
Minimum,Минимум
Maximum,Максимум
"Recipient Name","Имя получателя"
"Recipient Email","Электронная почта получателя"
"Maximum length of the message is %1 characters.","Максимальная длина сообщения %1 символов."
"Gift Card Codes:","Коды подарочных карт:"
"Gift Card Code:","Код подарочной карты:"
"Gift Cards","Подарочные карты"
Information,Информация
"Gift Card Code","Код подарочной карты"
History,История
"New Account","Новая учетная запись"
"You deleted a total of %1 records.","Вы удалили в общем %1 записей."
"Order #%1.","Заказ #%1."
"Recipient: %1.","Получатель: %1."
Alphabetical,"По алфавиту"
Numeric,Цифровой
"test message","тестовое сообщение"
Generate,Генерировать
" of "," из "
" total)."," всего)."
"Click here","Нажмите здесь"
"Gift Card:","Подарочная карта:"
"See Balance","Посмотреть баланс"
"Code Format","Формат кода"
"Code Prefix","Префикс кода"
"Code Suffix","Суффикс кода"
"Invalid Request","Неверный запрос"
"Too many attempts, please try again later.","Слишком много попыток, повторите попытку позже."
"Gift Options","Вариантов подарка"
"Product ID","ID товара"
Requested,Запрошено
Note,Заметка
"Remove Item","Удалить элемент"
"Sharing Information","Обмен информацией"
Event,Событие
Remaining,Осталось
Public,Публичное
Short,Короткий
Long,Длинный
Full,Полный
"Please enter a valid email address.","Введите допустимый адрес электронной почты."
Private,Приватный
"Please enter the title.","Пожалуйста, введите название."
"This product(s) is out of stock.","Этого товара нет в наличии."
"An item option with code %1 already exists.","Элемент параметра с кодом %1 уже существует."
New,Новый
"-- All --","-- Все --"
"All Forms","Все формы"
"Date Format","Формат даты"
Share,Поделиться
Sender,Отправитель
Type:,Тип:
"Remaining Quantity","Оставшееся количество"
"Required Fields","Обязательные поля"
"Search Options","Параметры поиска"
"Search Results","Результаты поиска"
Location,"Место нахождения"
"Please enter at least two letters.","Пожалуйста, введите по крайней мере 2 буквы."
"General Options","Общие параметры"
"Default Template","Шаблон По Умолчанию"
"Gift Wrapping","Подарочная упаковка"
"Add Gift Wrapping","Добавить подарочную упаковку"
"You have not uploaded the image.","Вы не загрузили изображение."
"No image","Нет изображения"
Constant,Константа
"Send Order Currency","Отправить заказ валюты"
"Send to Google","Отправить в Google"
"Account type","Тип учетной записи"
"Grouped Products","Сгруппированные продукты"
"Please specify the quantity of product(s).","Пожалуйста, укажите кол-во продукта(ов)."
"Cannot process the item.","Не удается обработать элемент."
"Add Products to Group","Добавить товары в Группу"
"There are no grouped products.","Больше не существует сгруппированных товаров."
"Default Qty","Кол-во по умолчанию"
"Starting at","Доступно с"
"Export Settings","Экспорт настроек"
Filter,Фильтр
"Check Data","Проверка данных"
"Import Settings","Импорт настроек"
"Stop on Error","Остановить при ошибки"
"Field separator","Разделитель полей"
"File to Import","Файл для импорта"
"Select File to Import","Выберите файл для импорта"
"Images File Directory","Каталог с файлами изображений"
"Download Sample File","Скачать образец файла"
Import/Export,Импорт/Экспорт
"Import History","История импорта"
"Import history","История импорта"
"Import successfully done","Импорт успешно завершен"
"The file was not uploaded.","Файл не был загружен."
"This file is empty. Please try another one.","Этот файл является пустым. Пожалуйста, попробуйте другой."
"Show more","Показать больше"
"There is no data for the export.","Нет данных для экспорта."
"Exported %1 rows.","Экспортировано %1 строк."
"The export is finished.","Экспорт завершен."
"The import was successful.","Импортирование успешно завершено."
Add/Update,Добавить/Обновить
Replace,Заменить
"Custom Action","Пользовательские действия"
User,Пользователь
"Imported File","Импортированный файл"
"Error File","Файл ошибки"
"Execution Time","Время выполнения"
"Only first 100 errors are displayed here. ","Здесь отображаются только первые 100 ошибок. "
"'Error in CSV: ' .","'Ошибка в CSV: ' ."
"-- Not Selected --","-- Не выбрано --"
"File name","Имя файла"
"Indexer Management","Управление индексами"
"Update by Schedule","Обновлять по расписанию"
"Update on Save","Обновление при сохранении"
"Reindex required","Требуется переиндексация"
Ready,Готово
Processing,Обработка
"%1 index is locked by another reindex process. Skipping.","Индекс %1 заблокирован другим процессом индексации. Пропуск."
"Index Management","Управление индексами"
"Please select indexers.","Пожалуйста, выберите индексы."
"Test Phrase","Тестовая Фраза"
Mode,Режим
"Payment method is not defined for instance purchase.","Метод оплаты не определен для экземпляра покупки."
"Shipping address is not defined for instance purchase.","Адрес доставки для экземпляра покупки не определен."
"Billing address is not defined for instance purchase.","Адрес выставления счета не определен для экземпляра покупки."
"Shipping method is not defined for instance purchase.","Метод доставки не определен для экземпляра покупки."
"Specified payment method is not available now.","Сейчас не доступен метод указанного платежа."
"Specified shipping method is not available.","Указанный метод доставки не доступен."
"Appropriate shipping method is not available.","Соответствующий метод доставки не доступен."
"Cheapest price","Дешевые цены"
"Instant purchase integration not available for token.","Мгновенное приобретение интеграция не доступны для маркера."
"Instant Purchase","Мгновенное приобретение"
"Instant Purchase Confirmation","Подтверждение покупки Мгновенный"
"Are you sure you want to place order and pay?","Вы уверены, что вы хотите разместить заказ и оплатить?"
"Shipping Method","Способ доставки"
"Button Text","Текст на кнопке"
"A payment method isn't defined for instance purchase. Verify and try again.","Метод оплаты не определен для данной покупки. Проверьте и повторите попытку."
Integrations,Интеграция
"Add New Integration","Добавить новую интеграцию"
"Save & Activate","Сохранить и активировать"
"New Integration","Новая интеграция"
"Edit Integration '%1'","Редактировать интеграцию '%1'"
"Integration Info","Информация об интеграции"
"Callback URL","URL обратного вызова"
Activate,Активировать
Reauthorize,"Повторно авторизовать"
"The integration was not saved.","Интеграция не была сохранена."
"Token is already being used","Токен уже используется"
"Are you sure ?","Вы уверены ?"
"Available APIs","Доступные API"
Resources,Ресурсы
"Sorry, something went wrong. Please try again later.","Извините, что-то пошло не так. Попробуйте еще раз."
Extensions,Расширения
"Cleanup Settings","Параметры очистки"
"Expiration Period","Период действия"
"Consumer Settings","Параметры клиента"
Invitations,Приглашения
"Save Invitation","Сохранить приглашение"
"Send Invitation","Выслать пригласительное"
"Status History","История состояния"
"We can't find this invitation.","Мы не можем найти это приглашение."
"Please select invitations.","Пожалуйста, выберите приглашения."
"We can't save this customer.","Мы не можем сохранить этого клиента."
"My Invitations","Мои приглашения"
"Send Invitations","Отправить приглашения"
"Available to All","Доступны для всех"
Accepted,Принято
"Send At","Отправить на"
Link,Ссылка
"Customer ID","ID клиента"
"Enter Email","Введите e-mail адрес"
Conversion,Преобразования
Conversions,Преобразования
Registered,Зарегистрированный
Invitation,Приглашение
"Filterable (with results)","Фильтруемый (с результатами)"
"Now Shopping by","В настоящее время покупки"
"Position of attribute in layered navigation block","Положение атрибута в блоке навигации"
"Admin Actions Log Archive","Архив журнала действий администратора"
"No changes","Без изменений"
"All Users","Все пользователи"
Success,Успешно
Failure,Неудача
"This user is locked","Этот пользователь заблокирован"
IP-Address,IP-адрес
Archive,Архив
"Mass Delete","Массовое удаление"
"Mass Update","Массовое обновление"
Move,Переместить
Print,Печать
Run,Запуск
Clean,Очистить
Send,Отправить
Create,Создать
"System Configuration","Конфигурация системы"
"Newsletter Queue","Очередь рассылки"
"Manage Design","Управление дизайном"
Widget,Виджет
"IP Address",IP-адрес
Result,Результат
"Full Details","Полная информация"
Partners,Партнеры
"More Partners","Больше партнеров"
"Read More","Читать дальше"
Synchronize,Синхронизация
Synchronizing...,Синхронизация...
"File System","Файловая система"
"database ""%1""","база данных ""%1"""
"Actual Price","Фактическая цена"
Wishlist,"Список желаний"
"My Wish Lists","Мой список желаний"
"1 item in wish list","есть 1 продукт в желанном списке"
"%1 items in wish list","есть %1 продукты в желанном списке"
"Wish List Search","Поиск по списку желаний"
"%1 product(s) have been added to shopping cart: %2.","%1 товар(ов) были добавлены в корзину: %2."
"Owner Name","Имя владельца"
"Owner Email","Email владельца"
"%1's Wish List","Список пожеланий %1"
"Wish list ""%1"" already exists.","Список желаний ""%1"" уже существует."
"Only %1 wish list(s) can be created.","Списков желаний можно создать только %1"
"All Wish Lists","Все списки желаний"
"Delete Wish List","Удалить список желаний"
"Add to:","Добавить в:"
"Create New Wish List","Создать новый список желаний"
"Copy to Wish List","Копировать в список желаний"
"Wish List Name","Название списка желаний"
"Create Wish List","Создать список желаемого"
"Edit Wish List","Редактировать список желаний"
"Public Wish List","Общественный список желаемого"
"Private Wish List","Частный список желаемого"
"Move Selected to Wish List","Переместить выбранные в список желаний"
"Copy Selected to Wish List","Копировать выбранные в список желаний"
"Wish Lists","Списки желаемого"
"Shipping Information","Информация о доставке"
"Default Shipping","Доставка по умолчанию"
"Send To",Отправить
"Go to Shipping Information","Перейти к информации о доставке"
"details below","подробности ниже"
"Shipping To","Доставка в"
"Order Review","Обзор заказа"
"Successfully ordered","Успешно заказано"
"Review Order","Просмотр заказа"
Error:,Ошибка:
"Save as Draft","Сохранить как черновик"
"Shipping & Handling","Доставка и обработка"
Qty:,Кол-во:
"Qty: ","Кол-во: "
Expires,Истекает
"Enter SKU","Введите SKU"
Created:,Создан:
"Thank you,","Спасибо,"
"Go to Checkout?","Оформить заказ?"
"Created Date","Дата создания"
"Delete Selected Problems","Удалить выбранные проблемы"
Pause,Пауза
Resume,Продолжить
"Save As","Сохранить как"
Subscribers,Подписчики
Cancelled,Отменено
"Choose Store View:","Название витрины магазина:"
"Need to Confirm","Требуется подтверждение"
"Customer First Name","Имя клиента"
"Customer Last Name","Фамилия клиента"
"Export CSV","Экспорт в CSV"
"Per Order","За заказ"
"Per Item","За единицу"
"Free Shipping","Бесплатная доставка"
"Built-in Cache","Встроенный кэш"
"Varnish Cache (Recommended)","Varnish кэш (рекомендуется)"
"Unsupported varnish version","Неподдерживаемая версия varnish"
"Full Page Cache","Полно-страничное кэширование"
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved.","Время жизни общественной содержимого кэша в секундах. Если поле пустое значение по умолчанию 86400 будут сохранены."
"Full page caching","Полно-страничное кэширование"
"Export VCL for Varnish ","Экспорт VCL для Varnish "
"Varnish Caching","Кэширование Varnish"
"Full page caching.","Полно-страничное кэширование."
"Export Configuration","Экспорт конфигурации"
"All Allowed Countries","Все разрешенные страны"
"You can't use the payment type you selected to make payments to the billing country.","Вы не можете использовать выбранный вами тип платежа для внесения платежей в страну фактурирования."
"The credit card number doesn't match the credit card type.","Номер кредитной карты не соответствует типу кредитной карты."
"Please enter a valid credit card verification number.","Пожалуйста введите действительный номер проверки карты."
"We'll ask for your payment details before you place an order.","Прежде чем разместить заказ мы запросим ваши платежные реквизиты."
"Please enter a valid credit card number.","Пожалуйста введите действительный номер кредитной карты."
"Billing Agreements","Правила оплаты"
Help,Помощь
"View Demo","Просмотреть демо"
"Invalid block type","Неверный тип блока"
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal не может обрабатывать заказы с нулевым балансом. Чтобы оформить покупку, пожалуйста, пройдите стандартный процесс оформления заказа."
"Every 3 days","Каждые 3 дня"
"Every 7 days","Каждые 7 дней"
"Every 10 days","Каждые 10 дней"
"Every 14 days","Каждые 14 дней"
"Every 30 days","Каждые 30 дней"
"Every 40 days","Каждые 40 дней"
here,здесь
Status:,Статус:
"What is PayPal?","Что такое PayPal?"
"Sorry, something went wrong.","Извините, что-то пошло не так."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Начните прием платежей через PayPal!</a>"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","Посмотреть детали PayPal функция поддержки и список поддерживаемых регионов
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">здесь</a>."
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout позволяет дать клиентам доступ к финансированию через PayPal кредитной&#174; - без дополнительных затрат для вас.                         Вам платят авансом, несмотря на то, что клиенты имеют больше времени для оплаты. Предварительно интегрированных оплаты кнопка позволяет клиентам быстро оплатить с PayPal кредит&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Узнайте больше</a>"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">почему реклама финансирования?</a><br/>
                        <strong>дать ваши продажи импульс, когда вы рекламируете финансирования.</strong><br/>PayPal помогает превратить покупателей с финансированием от PayPal кредитной&#174;браузеров. Ваши клиенты имеют больше времени, чтобы платить, в то время как вы получаете paid фронт – без дополнительных затрат для вас.                         Используйте PayPal бесплатные рекламные баннеры, которые позволяют вам рекламировать PayPal кредитного финансирования&#174; как способ оплаты, когда ваши клиенты проверить с PayPal.                         PayPal рекламной программы было показано генерировать дополнительные покупки, а также увеличить размеры средняя Покупка потребителя на 15% или более. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">см подробности</a>."
"Enable SSL verification","Включить проверку SSL"
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Торговцы должны обращаться к PayPal для включения функции биллинговой соглашений. Не включайте этот параметр до тех пор, пока PayPal подтверждает, что платежные соглашения включены для вашего торгового счета."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Будет отображаться как вариант оплаты только для клиентов, которые имеют по крайней мере один активный платежный соглашения."
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Допустимые значения: «paypal», «primary» (по умолчанию), your_custom_value (стиль пользовательской платежной страницы из профиля вашей торговой компании)."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Изображение в верхнем левом углу страницы проверки. Максимальный размер - 750x90 пикселей. <strong style=""color:red""> https </strong> приветствуется."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Цвет фона для заголовка страницы проверки. Нечувствительный к регистру шестисимвольный HTML-код шестнадцатеричного цвета в ASCII."
"The background color for the checkout page around the header and payment form.","Цвет фона для страницы проверки вокруг заголовка и формы оплаты."
Partner,Партнер
"Not you?","Не вы?"
"Welcome, %1!","Добро пожаловать, %1!"
"Remember Me","Запомнить меня"
"Persistence Lifetime (seconds)","Время жизни (секунд)"
"Read Product Price","Просмотреть цену продукта"
"Edit Product Price","Редактировать цену продукта"
"Edit Product Status","Изменить статус продукта"
"Default Product Price","Цена продукта по умолчанию"
Price:,Цена:
Url,URL-адрес
"Add Video","Добавить видео"
"Delete video","Удалить видео"
"New Video","Новое видео"
"Click here to add videos.","Нажмите здесь, чтобы добавить видео."
"Edit Catalog Price Rules","Изменение правила цен в каталоге"
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","Загруженный файл CSV не содержит столбец с меткой SKU. Убедитесь, что первый столбец обозначен как SKU и, что каждая строка в файле содержит значение SKU. Затем загрузите файл снова."
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","Файл не может быть загружен, так как имеет неверный формат. Пожалуйста, выберите для загрузки файл в формате CSV."
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","Файл должен быть в формате .csv и содержать колонки ""SKU"" и ""QTY"""
"Unable to save address. Please check input data.","Не удается сохранить адрес. Пожалуйста проверьте входные данные."
"What’s new with Magento 2.2.4","Что нового с Magento 2.2.4"
"
                        <p>Magento 2.2.4 provides powerful new tools to help reduce cart abandonment and simplify store operations:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Trusted Payment Options</h3>
                        <p>Online or on the go, your shoppers can easily purchase in a familiar, trusted way with Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Flexible Payment Terms</h3>
                        <p>Increase sales by providing shoppers with the flexibility to pay now, later, or in installments using Klarna&#8217;s integrated payment option.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Sales and Use Tax Automation</h3>
                        <p>Merchants can now automatically perform instant and accurate sales tax calculations on shopping cart items with Vertex Cloud.</p>
                        </div>
                        <p>To learn more, see the <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> and the <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento User Guide</a>.</p>
                        ","
                        <p>Magento 2.2.4 предоставляет новые мощные инструменты, чтобы помочь уменьшить оставления корзину и упростить операции хранения:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>доверенных оплаты варианты</h3>
                        <p>Онлайн или на ходу ваши покупатели могут легко приобрести в знакомые, доверенный путь с Amazon платить.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>гибкие условия оплаты</h3>
                        <p>увеличение продаж, предоставляя покупателям с гибкостью платить сейчас, позднее, или в рассрочку, используя Кейт&#8217;s интегрированный вариант оплаты.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>продажи и использования налоговых автоматизации</h3>
                        <p>купцы теперь могут автоматически выполняют calcul мгновенный и точный налог с продаж по магазинам корзину предметы с вершины облако.</p>
                        </div>
                        <p>чтобы узнать больше, смотрите <div class=""notranslate""> 38 < / Div > выпуске</a> и <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento руководство пользователя</a>.</p>-
                        "
"Trusted Payment Options","Варианты надежных платежей"
